blockNumber,timeStamp,addr,name,symbol,decimals,totalsupply
16182151,2022-12-14 09:51:11,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,258449911099924396455928086
16182151,2022-12-14 09:51:11,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,32297366521996886
16182151,2022-12-14 09:51:11,0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,5161076470310039877897646204
16182151,2022-12-14 09:51:11,0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,12412594000
16182151,2022-12-14 09:51:11,0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,1000000000000000000000000000
16182151,2022-12-14 09:51:11,0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,133888888000000000000000000
16182151,2022-12-14 09:51:11,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,3705501528041078209865117
16182151,2022-12-14 09:51:11,0x4Fabb145d64652a948d72533023f6E7A623C7C53,Binance USD,BUSD,18,18802407218740000000000000000
16182151,2022-12-14 09:51:11,0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,1023027133258784156507370384
16182151,2022-12-14 09:51:11,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,41884308131119550
blockNumber,timeStamp,addr,name,symbol,decimals,totalsupply
16182157,2022-12-14 09:52:23,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,258449911099924396455928086
16182157,2022-12-14 09:52:23,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,32297366521996886
16182157,2022-12-14 09:52:23,0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,5161076470310039877897646204
16182157,2022-12-14 09:52:23,0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,12412594000
16182157,2022-12-14 09:52:23,0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,1000000000000000000000000000
16182157,2022-12-14 09:52:23,0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,133888888000000000000000000
16182157,2022-12-14 09:52:23,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,3705475825085907879138596
16182157,2022-12-14 09:52:23,0x4Fabb145d64652a948d72533023f6E7A623C7C53,Binance USD,BUSD,18,18802407218740000000000000000
16182157,2022-12-14 09:52:23,0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,1023027133258784156507370384
16182157,2022-12-14 09:52:23,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,41884308131119550
blockNumber,timeStamp,addr,name,symbol,decimals,totalsupply
16182238,2022-12-14 10:08:47,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,258449911099924396455928086
16182238,2022-12-14 10:08:47,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,32297366521996886
16182238,2022-12-14 10:08:47,0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,5161076470310039877897646204
16182238,2022-12-14 10:08:47,0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,12412594000
16182238,2022-12-14 10:08:47,0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,1000000000000000000000000000
16182238,2022-12-14 10:08:47,0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,133888888000000000000000000
16182238,2022-12-14 10:08:47,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,3705918792003995625687126
16182238,2022-12-14 10:08:47,0x4Fabb145d64652a948d72533023f6E7A623C7C53,Binance USD,BUSD,18,18802407218740000000000000000
16182238,2022-12-14 10:08:47,0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,1023027133258784156507370384
16182238,2022-12-14 10:08:47,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,41884356997149550
blockNumber,timeStamp,addr,name,symbol,decimals,totalsupply
16182239,2022-12-14 10:08:59,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,258449911099924396455928086
16182239,2022-12-14 10:08:59,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,32297366521996886
16182239,2022-12-14 10:08:59,0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,5161076470310039877897646204
16182239,2022-12-14 10:08:59,0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,12412594000
16182239,2022-12-14 10:08:59,0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,1000000000000000000000000000
16182239,2022-12-14 10:08:59,0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,133888888000000000000000000
16182239,2022-12-14 10:08:59,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,3705918968874712840152762
16182239,2022-12-14 10:08:59,0x4Fabb145d64652a948d72533023f6E7A623C7C53,Binance USD,BUSD,18,18802407218740000000000000000
16182239,2022-12-14 10:08:59,0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,1023027133258784156507370384
